Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,26027,27340,28677,30038,31418,32802,34194,35579,36947,38295,39658,41054,42456,43862,45286,46727,48177,49647,51123,52602,54074,55492,56860,58212,59559,60911,62255,63581,64884,66134,67311,68136,68706
"Population, total",SP.POP.TOTL,Central African Republic,CAF,2809221,2898052,2991727,3089146,3187844,3276706,3363570,3458472,3555064,3655360,3759170,3844773,3930648,4026841,4115138,4208834,4294352,4375569,4467233,4564540,4660067,4732022,4773306,4802428,4798734,4819333,4904177,4996741,5094780,5209324,5343020,5457154,5579144
"Population, total",SP.POP.TOTL,Chad,TCD,5827069,6042428,6302926,6448280,6592998,6888856,7200291,7450874,7709115,7981889,8259137,8538804,8838369,9196366,9613503,10005012,10365614,10722731,11098664,11496128,11894727,12317730,12754906,13216766,13697126,14140274,14592585,15085884,15604210,16126866,16644701,17179740,17723315
"Population, total",SP.POP.TOTL,Channel Islands,CHI,140601,141557,142011,142291,142466,142559,142898,143549,144211,144811,145306,146044,147167,148341,149538,150763,151985,153225,154475,155721,156933,157819,158621,159794,160912,162190,163721,165215,167259,169410,171113,172683,174079
"Population, total",SP.POP.TOTL,Chile,CHL,13342868,13561945,13782297,13998386,14210674,14416796,14615483,14809289,14996742,15176410,15351799,15523978,15693790,15859112,16017966,16175311,16334575,16495538,16661462,16833447,17004162,17173573,17341771,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315,19493184,19603733
"Population, total",SP.POP.TOTL,China,CHN,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000
"Population, total",SP.POP.TOTL,Colombia,COL,32601393,33272628,33939039,34614735,35295461,35970101,36632573,37291946,37944414,38585033,39215135,39837875,40454050,41057687,41648268,42220940,42772910,43306582,43815313,44313917,44816108,45308899,45782417,46237930,46677947,47119728,47625955,48351671,49276961,50187406,50930662,51516562,51874024
"Population, total",SP.POP.TOTL,Comoros,COM,431119,442277,452990,463318,473478,483760,494288,505033,515959,526443,536758,547741,559047,570130,581154,592683,604658,616899,629470,642493,656024,670071,684553,699393,714612,730216,746232,761664,776313,790986,806166,821625,836774
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,35987541,37194812,38332302,39580844,41511985,43285791,44118709,44822198,45895524,47227238,48616317,50106657,51662071,53205639,54815607,56550247,58381630,60289422,62249724,64270232,66391257,68654269,70997870,73460021,76035588,78656904,81430977,84283273,87087355,89906890,92853164,95894118,99010212
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,2385435,2452675,2520958,2594168,2669220,2742309,2816595,2875037,2937166,3016659,3134030,3254101,3331158,3424653,3543012,3672839,3813323,3956329,4089602,4257230,4437884,4584216,4713257,4828066,4944861,5064386,5186824,5312340,5441062,5570733,5702174,5835806,5970424
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3158253,3239414,3321939,3405372,3489152,3572856,3656234,3739421,3821421,3901430,3979193,4053222,4122623,4188610,4252800,4315887,4378172,4440019,4501921,4563127,4622252,4679926,4736593,4791535,4844288,4895242,4945205,4993842,5040734,5084532,5123105,5153957,5180829
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,11910540,12369269,12838314,13316448,13802285,14299727,14810946,15335453,15858990,16345894,16799670,17245468,17683897,18116451,18544903,18970215,19394057,19817700,20244449,20677762,21120042,21562914,22010712,22469268,22995555,23596741,24213622,24848016,25493988,26147551,26811790,27478249,28160542
"Population, total",SP.POP.TOTL,Croatia,HRV,4777368,4689022,4575818,4600463,4652024,4620030,4557097,4534920,4532135,4512597,4468302,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3879000,3855600
"Population, total",SP.POP.TOTL,Cuba,CUB,10626680,10713812,10783748,10840934,10887207,10926703,10963031,10998129,11033758,11070094,11105791,11139127,11170051,11199217,11225294,11246114,11260630,11269887,11276609,11283185,11290417,11298710,11309290,11321579,11332026,11339894,11342012,11336405,11328244,11316697,11300698,11256372,11212191
"Population, total",SP.POP.TOTL,Curacao,CUW,145400,144403,143912,144299,144630,145139,146306,146956,144472,139428,133860,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,157980,159664,160175,159336,157441,154947,152369,149996
"Population, total",SP.POP.TOTL,Cyprus,CYP,788500,799061,810431,825986,844444,862418,880058,897471,914660,931600,948237,964830,982194,1000350,1018684,1037062,1055438,1073873,1092390,1110974,1129686,1145086,1156556,1166968,1176995,1187280,1197881,1208523,1218831,1228836,1237537,1244188,1251488
"Population, total",SP.POP.TOTL,Czechia,CZE,10333355,10308578,10319123,10329855,10333587,10327253,10315241,10304131,10294373,10283860,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118
"Population, total",SP.POP.TOTL,Denmark,DNK,5140939,5154298,5171370,5188628,5206180,5233373,5263074,5284991,5304219,5321799,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037
"Population, total",SP.POP.TOTL,Djibouti,DJI,577173,628521,623197,611231,623477,629619,644649,667786,694920,719371,742033,765490,789129,806411,818373,830861,846947,865196,882886,901103,919199,936811,954297,971753,989087,1006259,1023261,1040233,1057198,1073994,1090156,1105557,1120849
"Population, total",SP.POP.TOTL,Dominica,DMA,69481,69141,69112,69169,69198,69201,69166,69081,68938,68698,68346,68153,68262,68442,68574,68674,68742,68775,68782,68787,68755,68742,68888,68819,69371,70007,70075,70403,70823,71428,71995,72412,72737
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,7129004,7278402,7427340,7576074,7723934,7869753,8012314,8150076,8282126,8411374,8540791,8669040,8795101,8919852,9043127,9164768,9284168,9402206,9522948,9648061,9775755,9903737,10030882,10157051,10282115,10405832,10527592,10647244,10765531,10881882,10999664,11117873,11228821
"Population, total",SP.POP.TOTL,Ecuador,ECU,10449837,10686279,10914222,11132829,11347652,11561683,11775221,11987838,12199693,12412046,12626507,12845521,13070609,13301184,13534593,13770012,14009061,14251835,14496797,14742766,14989585,15237728,15483883,15722989,15957994,16195902,16439585,16696944,17015672,17343740,17588595,17797737,18001000
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,57214630,58611032,59989142,61382200,62775847,64166908,65565195,66993728,68446011,69907887,71371371,72854261,74393759,75963322,77522427,79075310,80629670,82218755,83844783,85501064,87252413,89200054,91240376,93377890,95592324,97723799,99784030,101789386,103740765,105618671,107465134,109262178,110990103
"Population, total",SP.POP.TOTL,El Salvador,SLV,5367179,5461070,5552206,5630987,5693038,5748195,5797140,5842638,5885083,5923852,5958482,5988095,6011275,6026849,6035655,6037817,6034436,6044131,6068099,6091188,6114034,6137349,6161289,6185642,6209526,6231066,6250510,6266654,6276342,6280217,6292731,6314167,6336392
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,465549,483142,501334,520236,539992,560740,582573,605570,629734,655029,684977,719270,754115,789681,826355,864726,905418,948814,994971,1043686,1094524,1144588,1193636,1243941,1295183,1346973,1398927,1450694,1502091,1553031,1596049,1634466,1674908
"Population, total",SP.POP.TOTL,Eritrea,ERI,2149960,2039220,1921153,1981419,2042500,2157220,2264073,2291561,2322753,2356477,2392880,2461927,2547424,2653390,2763140,2831732,2880093,2926168,3005779,3083888,3147727,3207570,3252596,3296367,3323425,3340006,3365287,3396933,3445374,3498818,3555868,3620312,3684032
"Population, total",SP.POP.TOTL,Estonia,EST,1569174,1561314,1533091,1494128,1462514,1436634,1415594,1399535,1386156,1390244,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1348840
"Population, total",SP.POP.TOTL,Eswatini,SWZ,854011,889712,925165,953451,953737,953573,973587,990734,1005158,1018370,1030496,1041396,1050809,1058797,1065764,1071886,1077735,1084008,1089870,1094886,1099920,1105371,1111444,1118319,1125865,1133936,1142524,1151390,1160428,1169613,1180655,1192271,1201670
"Population, total",SP.POP.TOTL,Ethiopia,ETH,47878073,49937430,52011554,53791672,55620211,57476536,59347649,61233480,63136493,65077579,67031867,69018932,71073215,73168838,75301026,77469940,79691050,81996185,84357105,86755585,89237791,91817929,94451280,97084366,99746766,102471895,105293228,108197950,111129438,114120594,117190911,120283026,123379924
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,47479,46810,46005,45096,44131,43805,44138,44495,44865,45203,45660,46245,46813,47392,47989,48291,48313,48361,48411,48429,48410,48386,48392,48418,48465,48816,49500,50230,50955,51681,52415,52889,53090
"Population, total",SP.POP.TOTL,Fiji,FJI,780430,784832,786859,789198,790803,792246,796538,804572,813947,823422,832509,841320,849891,858306,866694,874923,883083,890648,896731,901383,905169,908355,911059,913453,915560,917200,918371,919019,918996,918465,920422,924610,929766
"Population, total",SP.POP.TOTL,Finland,FIN,4986431,5013740,5041992,5066447,5088333,5107790,5124573,5139835,5153498,5165474,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106
"Population, total",SP.POP.TOTL,France,FRA,58044701,58557577,58849943,59106166,59327585,59543659,59756533,59969944,60192790,60504420,60921384,61367388,61816234,62256970,62716306,63188395,63628261,64021737,64379696,64710879,65030575,65345233,65662240,66002289,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67764304,67971311
"Population, total",SP.POP.TOTL,French Polynesia,PYF,211089,215444,219621,223714,227682,231446,235189,239036,242882,246821,250927,255049,259137,263173,267132,271060,274901,278178,280558,282283,283788,285265,286584,288032,289873,291787,293541,295450,297606,299717,301920,304032,306279
"Population, total",SP.POP.TOTL,Gabon,GAB,983028,1009995,1037446,1065390,1093611,1121964,1150601,1179806,1209832,1240764,1272935,1306590,1341696,1378398,1417110,1458353,1502534,1549774,1599978,1653542,1711105,1772500,1836705,1902226,1966855,2028517,2086206,2140215,2192012,2242785,2292573,2341179,2388992
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1040616,1083536,1127152,1168309,1205882,1242155,1279070,1317002,1356189,1396499,1437539,1479449,1522223,1566257,1612225,1660368,1711294,1764883,1820542,1878119,1937275,1998212,2061014,2124869,2189019,2253133,2317206,2381182,2444916,2508883,2573995,2639916,2705992
"Population, total",SP.POP.TOTL,Georgia,GEO,4802000,4835900,4873500,4911100,4836076,4657722,4491699,4349913,4243607,4157192,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502
"Population, total",SP.POP.TOTL,Germany,DEU,79433029,80013896,80624598,81156363,81438348,81678051,81914831,82034771,82047195,82100243,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985
"Population, total",SP.POP.TOTL,Ghana,GHA,15446982,15843471,16241548,16643633,17040854,17438874,17844010,18268040,18714708,19176791,19665502,20195577,20758326,21329514,21906444,22496951,23098586,23708320,24326087,24950762,25574719,26205941,26858762,27525597,28196358,28870939,29554303,30222262,30870641,31522290,32180401,32833031,33475870
"Population, total",SP.POP.TOTL,Gibraltar,GIB,27317,26988,26945,27118,27282,27412,27491,27564,27636,27695,27741,27721,27892,28301,28716,29155,29587,29996,30398,30819,31262,31701,32160,32411,32452,32520,32565,32602,32648,32685,32709,32669,32649
"Population, total",SP.POP.TOTL,Greece,GRC,10196792,10319927,10399061,10460415,10512922,10562153,10608800,10661259,10720509,10761698,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10426919
"Population, total",SP.POP.TOTL,Greenland,GRL,55600,55500,55300,55200,55500,55800,55900,56000,56100,56100,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186,56172,56023,56225,56367,56653,56661
"Population, total",SP.POP.TOTL,Grenada,GRD,99047,99758,101040,102173,103174,104060,104846,105549,106200,106823,107432,107936,108231,108740,109516,110254,110988,111725,112478,113249,114039,114918,115912,116945,117972,118980,119966,120921,121838,122724,123663,124610,125438
"Population, total",SP.POP.TOTL,Guam,GUM,138263,140739,143173,145541,147843,150094,152261,154330,156357,158395,160188,161524,162563,163385,164004,164430,164675,164763,164725,164580,164905,165649,166392,167054,167543,167978,168346,168606,168678,168624,169231,170534,171774
"Population, total",SP.POP.TOTL,Guatemala,GTM,9050115,9296814,9544055,9790619,10037522,10286786,10536942,10788362,11046215,11311078,11589761,11871565,12147518,12415334,12682108,12948292,13213330,13477017,13739299,14000190,14259687,14521515,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333,17109746,17357886
"Population, total",SP.POP.TOTL,Guinea,GIN,6354145,6615734,6832195,7046097,7262112,7468347,7683115,7842806,7992545,8174897,8336967,8445717,8577790,8772254,8961039,9140114,9330625,9547082,9779785,10021323,10270728,10527712,10788692,11055430,11333365,11625998,11930985,12240789,12554864,12877539,13205153,13531906,13859341
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,973551,993856,1022904,1056761,1089617,1117222,1140604,1162443,1184071,1206474,1230849,1257380,1285678,1315653,1347009,1379713,1414091,1450572,1488431,1527196,1567220,1609017,1652717,1697753,1743309,1788919,1834552,1879826,1924955,1970457,2015828,2060721,2105566
"Population, total",SP.POP.TOTL,Guyana,GUY,747116,744096,744998,747189,749546,751689,753571,755211,756697,758014,759051,759809,760323,760562,760424,759709,758367,756521,754150,751258,747932,744230,743966,747420,751115,755031,759087,763252,785514,798753,797202,804567,808726
"Population, total",SP.POP.TOTL,Haiti,HTI,6925331,7066055,7205780,7345940,7486091,7627316,7770593,7915172,8060896,8208941,8360225,8511728,8661546,8812245,8961489,9111900,9266288,9420826,9575247,9730638,9842880,9954312,10108539,10261206,10412740,10563757,10713849,10863543,11012421,11160438,11306801,11447569,11584996
"Population, total",SP.POP.TOTL,Honduras,HND,5053234,5196887,5344774,5496841,5652934,5812832,5976550,6144112,6308537,6477365,6656725,6837861,7019908,7201881,7383407,7564613,7745200,7924462,8101777,8277302,8450933,8622504,8792367,8960657,9127846,9294505,9460798,9626842,9792850,9958829,10121763,10278345,10432860
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,5704500,5752000,5800500,5901000,6035400,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100
"Population, total",SP.POP.TOTL,Hungary,HUN,10373988,10373400,10369341,10357523,10343355,10328965,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891,9643048
"Population, total",SP.POP.TOTL,Iceland,ISL,254826,257797,261057,263725,266021,267468,268916,271128,274047,277381,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,352721,360563,366463,372520,382003
"Population, total",SP.POP.TOTL,India,IND,870452165,888941756,907574049,926351297,945261958,964279129,983281218,1002335230,1021434576,1040500054,1059633675,1078970907,1098313039,1117415123,1136264583,1154638713,1172373788,1189691809,1206734806,1223640160,1240613620,1257621191,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173
"Population, total",SP.POP.TOTL,Indonesia,IDN,182159874,185361228,188558416,191737287,194928533,198140162,201373791,204628007,207855486,210996910,214072421,217112437,220115092,223080121,225938595,228805144,231797427,234858289,237936543,240981299,244016173,247099697,250222695,253275918,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191,275501339
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,55793629,57990883,59372016,59755430,59985749,60794809,61598378,62480533,63461421,64474745,65544383,66674851,67327117,67954699,69061674,70182594,71275760,72319418,73318394,74322685,75373855,76342971,77324451,78458928,79961672,81790841,83306231,84505076,85617562,86564202,87290193,87923432,88550570
"Population, total",SP.POP.TOTL,Iraq,IRQ,17658381,17846378,18385673,19295818,20248073,20948858,21639332,22330770,23053488,23820734,24628858,25425663,26255343,27068823,27858948,28698684,28905607,28660887,29218381,30289040,31264875,32378061,33864447,35481800,36746488,37757813,38697943,39621162,40590700,41563520,42556984,43533592,44496122
"Population, total",SP.POP.TOTL,Ireland,IRL,3513974,3534235,3558430,3576261,3590386,3608841,3637510,3674171,3712696,3754786,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033164,5127170
"Population, total",SP.POP.TOTL,Isle of Man,IMN,68865,69770,70307,70710,71094,71454,71981,72793,73727,74668,75562,76398,77183,77939,78677,79415,80228,81100,81997,82915,83828,84350,84338,84144,83896,83593,83450,83580,83775,83933,84046,84263,84519
"Population, total",SP.POP.TOTL,Israel,ISR,4660000,4949000,5123000,5261000,5399000,5545000,5692000,5836000,5971000,6125000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9371400,9557500
"Population, total",SP.POP.TOTL,Italy,ITA,56719240,56758521,56797087,56831821,56843400,56844303,56860281,56890372,56906744,56916317,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59133173,58940425
"Population, total",SP.POP.TOTL,Jamaica,JAM,2392030,2411867,2434574,2459062,2484182,2509372,2532894,2554954,2576567,2596271,2612205,2625405,2638244,2651027,2664024,2676863,2689660,2701221,2711373,2722401,2733896,2746169,2759817,2773129,2784543,2794445,2802695,2808376,2811835,2813773,2820436,2827695,2827377
"Population, total",SP.POP.TOTL,Japan,JPN,123478000,123964000,124425000,124829000,125178000,125472000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989
"Population, total",SP.POP.TOTL,Jordan,JOR,3480587,3666379,3866887,4075759,4278166,4458195,4608676,4733665,4844403,4950775,5056174,5163310,5275532,5396117,5532423,5678534,6075548,6473457,6632873,6780493,6931258,7109980,7211863,7694814,8658026,9494246,9964656,10215381,10459865,10698683,10928721,11148278,11285869
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16348000,16451711,16439095,16380672,16145766,15816243,15578227,15334405,15071640,14928374,14883626,14858335,14858948,14909019,15012984,15147029,15308085,15484192,15776938,16092822,16321872,16557202,16792090,17035551,17288285,17542806,17794055,18037776,18276452,18513673,18755666,19000988,19621972
"Population, total",SP.POP.TOTL,Kenya,KEN,23162269,23918235,24655723,25391830,26133744,26878347,27615736,28364264,29137373,29965129,30851606,31800343,32779823,33767122,34791836,35843010,36925253,38036793,39186895,40364444,41517895,42635144,43725806,44792368,45831863,46851488,47894670,48948137,49953304,50951450,51985780,53005614,54027487
"Population, total",SP.POP.TOTL,Kiribati,KIR,75124,76612,77901,79093,80264,81481,82832,84308,85805,87289,88826,90531,92400,94302,96224,98164,100083,101998,103966,105996,107995,109871,111618,113311,114985,116707,118513,120362,122261,124241,126463,128874,131232
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,20799523,21115534,21439991,21773017,22105225,22385536,22614347,22827373,23023636,23204498,23367059,23512522,23638411,23781707,23948930,24100982,24235761,24356506,24469047,24581509,24686435,24783789,24887770,25001819,25126131,25258015,25389611,25516321,25638149,25755441,25867467,25971909,26069416
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876,51628117
"Population, total",SP.POP.TOTL,Kosovo,XKX,1862000,1898000,1932000,1965000,1997000,2029000,2059000,2086000,1966000,1762000,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1791000,1807106,1818117,1812771,1788196,1777557,1791003,1797085,1788878,1790133,1786038,1761985
"Population, total",SP.POP.TOTL,Kuwait,KWT,1674938,1339500,1620633,1653645,1641106,1655222,1703318,1761468,1819544,1877427,1934901,1991674,2047364,2101506,2153481,2235403,2363409,2506769,2650930,2795550,2943356,3143825,3394663,3646518,3761584,3908743,4048085,4124904,4317185,4441100,4360444,4250114,4268873
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,4391200,4463600,4515400,4516700,4515100,4560400,4628400,4696400,4769000,4840400,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6322800,6456200,6579900,6773400,6974900
"Population, total",SP.POP.TOTL,Lao PDR,LAO,4314443,4437225,4561106,4685296,4807950,4927432,5043914,5150538,5246922,5340056,5430853,5519707,5606101,5689065,5768167,5852970,5946593,6041348,6135861,6229930,6323418,6416327,6508803,6600742,6691454,6787419,6891363,6997917,7105006,7212053,7319399,7425057,7529475
"Population, total",SP.POP.TOTL,Latvia,LVA,2663151,2650581,2614338,2563290,2520742,2485056,2457222,2432851,2410019,2390482,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490,1879383
"Population, total",SP.POP.TOTL,Lebanon,LBN,3593700,3666734,3745407,3818796,3888144,3959640,4034243,4107551,4178784,4250020,4320642,4389200,4446666,4504807,4574797,4643044,4719864,4809608,4887613,4951135,4995800,5045056,5178337,5678851,6274342,6398940,6258619,6109252,5950839,5781907,5662923,5592631,5489739
"Population, total",SP.POP.TOTL,Lesotho,LSO,1798997,1829509,1858507,1885478,1910642,1934079,1955098,1972579,1985639,1994243,1998630,1999473,1997534,1993030,1985384,1977424,1976780,1983465,1995014,2009169,2022747,2037677,2054718,2073939,2095242,2118521,2143872,2170617,2198017,2225702,2254100,2281454,2305825
"Population, total",SP.POP.TOTL,Liberia,LBR,2209731,1939236,2052626,2132771,2125198,2142422,2203966,2383300,2639224,2789743,2895224,2981648,3060599,3085173,3122447,3266318,3455397,3632740,3783887,3905066,4019956,4181150,4331740,4427313,4519398,4612329,4706097,4796631,4889391,4985289,5087584,5193416,5302681
"Population, total",SP.POP.TOTL,Libya,LBY,4236983,4341971,4444820,4544970,4641296,4733063,4820066,4902346,4980962,5057998,5154790,5275916,5405326,5542641,5687563,5837986,5973369,6097177,6228370,6360191,6491988,6188132,5869870,5985221,6097764,6192235,6282196,6378261,6477793,6569088,6653942,6735277,6812341
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,28765,29168,29581,30012,30447,30890,31337,31770,32190,32615,33026,33376,33693,34000,34300,34603,34889,35150,35401,35675,35926,36189,36505,36806,37096,37355,37609,37889,38181,38482,38756,39039,39327
"Population, total",SP.POP.TOTL,Lithuania,LTU,3697838,3704134,3700114,3682613,3657144,3629102,3601613,3575137,3549331,3524238,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2801543,2794137,2794885,2800839,2831639
"Population, total",SP.POP.TOTL,Luxembourg,LUX,381850,387000,392175,397475,402925,408625,414225,419450,424700,430475,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,569604,582014,596336,607950,620001,630419,640064,653103
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,350227,362390,372370,380712,388779,396641,404297,411700,418776,425518,431896,439122,449665,462533,475529,488619,501863,515330,529038,543021,557297,571003,582766,593374,604167,615239,626688,638609,650991,663653,676283,686607,695168
"Population, total",SP.POP.TOTL,Madagascar,MDG,11882762,12245260,12623342,13020100,13436121,13869138,14317454,14778903,15250934,15730885,16216431,16709665,17211934,17724310,18250774,18792171,19350299,19924958,20513599,21117092,21731053,22348158,22966240,23588073,24215976,24850912,25501941,26169542,26846541,27533134,28225177,28915653,29611714
"Population, total",SP.POP.TOTL,Malawi,MWI,9539665,9831584,10115420,10257233,10131799,10112816,10310528,10512678,10732456,10973956,11229387,11498818,11784498,12087965,12411342,12755648,13118307,13495463,13889423,14298932,14718422,15146094,15581251,16024775,16477966,16938942,17405624,17881167,18367883,18867337,19377061,19889742,20405317
"Population, total",SP.POP.TOTL,Malaysia,MYS,17517054,18017464,18526708,19050077,19588703,20136888,20689051,21249178,21810542,22368655,22945150,23542517,24142445,24739411,25333247,25923536,26509413,27092604,27664296,28217204,28717731,29184133,29660212,30134807,30606459,31068833,31526418,31975806,32399271,32804020,33199993,33573874,33938221
"Population, total",SP.POP.TOTL,Maldives,MDV,224957,232150,239136,245845,252201,258208,263841,269040,273796,278111,282507,287324,292284,297226,302135,307018,314401,325126,336883,349037,361575,374440,387539,400728,416738,435582,454252,472442,489758,504508,514438,521457,523787
"Population, total",SP.POP.TOTL,Mali,MLI,8945026,9123969,9310572,9506510,9711797,9921094,10131906,10359301,10620475,10916993,11239101,11583824,11952660,12342165,12751995,13180551,13623541,14080912,14551117,15032635,15529181,16039734,16514687,17004033,17551814,18112907,18700106,19311355,19934298,20567424,21224040,21904983,22593590
"Population, total",SP.POP.TOTL,Malta,MLT,354170,363845,367618,371308,374797,377419,379905,382791,385287,387578,390087,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,420028,425967,434558,445053,455356,467999,484630,504062,515332,518536,531113
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,46047,47053,48015,48944,49840,50702,51538,52358,53164,53834,54224,54413,54496,54493,54435,54337,54208,54038,53816,53593,53416,52971,52203,51352,50419,49410,48329,47187,45989,44728,43413,42050,41569
"Population, total",SP.POP.TOTL,Mauritania,MRT,2006027,2066302,2147527,2237064,2315191,2380341,2428816,2484278,2550501,2620611,2695003,2761823,2821703,2883326,2946575,3012360,3081229,3153508,3233336,3322616,3419461,3524249,3636113,3742959,3843174,3946220,4051890,4160015,4270712,4383849,4498604,4614974,4736139
